"קוד עיר","שם עיר","חובת רחובות כן / לא","ניתן לתאם כן / לא"
"5","תמר","0","N"
"6","נוה זיו","1","Y"
"7","שחר","0","Y"
"10","תירוש","0","Y"
"11","ניר ח""ן","0","Y"
"12","סדום","1","N"
"13","חצבה","0","N"
"15","נועם","0","Y"
"16","בית ניר","0","Y"
"18","שדה משה","0","Y"
"21","באר אורה","0","N"
"22","מקווה ישראל","0","Y"
"23","אמציה","0","Y"
"24","לכיש","0","Y"
"26","ראש פינה","1","Y"
"27","שדות מיכה","0","Y"
"28","מזכרת בתיה","1","Y"
"29","יסוד המעלה","1","Y"
"31","אופקים","1","Y"
"32","עוצם","0","Y"
"33","בת שלמה","0","Y"
"35","גדות","0","Y"
"36","שדה דוד","0","Y"
"37","איתן","0","Y"
"38","כרי דשא","0","Y"
"39","גפן","0","Y"
"41","אליכין","1","Y"
"43","מטולה","1","Y"
"44","זוהר","0","Y"
"46","יבנאל","1","Y"
"47","כפר תבור","1","Y"
"48","מנחמיה","1","Y"
"49","אילניה","0","Y"
"50","גבעת עדה","1","Y"
"52","לוזית","0","Y"
"53","עתלית","1","Y"
"55","נוגה","0","Y"
"57","כנרת-קבוצה","0","Y"
"58","מצפה","1","Y"
"59","נחושה","0","Y"
"62","דגניה א`","0","Y"
"63","כנרת-מושבה","1","Y"
"64","יד רמב""ם","0","Y"
"65","מגדל","1","Y"
"66","מרחביה-קיבוץ","0","Y"
"67","אור הנר","0","Y"
"69","ניר עוז","0","Y"
"70","אשדוד","1","Y"
"71","אשבול","0","Y"
"72","גן שמואל","0","Y"
"74","עין הוד","0","Y"
"76","כפר גלעדי","1","Y"
"77","איילת השחר","0","Y"
"78","קרית ענבים","0","Y"
"79","דגניה ב`","0","Y"
"80","נהלל","0","Y"
"82","עין חרוד-מאוחד","0","Y"
"84","תל יוסף","0","Y"
"85","כפר יחזקאל","0","Y"
"86","קבוץ גבע","0","Y"
"88","בן שמן-שיכון","0","Y"
"89","עין חרוד-איחוד","0","Y"
"90","חפצי-בה","0","Y"
"92","גיניגר","0","Y"
"94","בלפוריה","0","Y"
"95","בית אלפא","0","Y"
"96","יגור","0","Y"
"97","מרחביה-מושב","0","Y"
"98","כפר מל""ל","1","Y"
"99","מצפה רמון","1","Y"
"102","מאיר שפיה","0","Y"
"103","תל עדשים","0","Y"
"104","מזרע","0","Y"
"106","כפר גדעון","0","Y"
"107","כפר סילבר","0","Y"
"112","כפר חסידים א`","1","Y"
"113","אדירים","0","Y"
"115","חופית","1","Y"
"122","רמת ישי","1","Y"
"126","שריד","0","Y"
"127","רמת רחל","0","Y"
"128","גת רימון","1","Y"
"130","משמר העמק","0","Y"
"132","כפר ברוך","0","Y"
"133","גבת","0","Y"
"134","יפעת","0","Y"
"135","רמת דוד","0","Y"
"139","עין שמר","0","Y"
"140","כפר יהושע","0","Y"
"141","ברק","0","Y"
"142","שדה יעקב","0","Y"
"143","בית זרע","0","Y"
"144","גן שלמה","0","Y"
"145","גדיש","0","Y"
"146","דבורה","1","Y"
"147","גבעת ברנר","0","Y"
"150","ברורים","0","Y"
"154","תל מונד","1","Y"
"155","באר טוביה","0","Y"
"156","עיינות","0","Y"
"157","עין ורד","1","Y"
"158","נען","0","Y"
"159","בית חנן","0","Y"
"160","חולדה","0","Y"
"162","חרות","1","Y"
"163","תימורים","0","Y"
"164","מלאה","0","Y"
"165","ניר יפה","0","Y"
"166","גן יבנה","1","Y"
"167","עין החורש","0","Y"
"168","כפר יונה","1","Y"
"170","כפר יעבץ","0","Y"
"171","פרדסיה","1","Y"
"173","גבעת חיים מאוחד","0","Y"
"174","נטעים","0","Y"
"175","אביחיל","1","Y"
"176","אפיקים","0","Y"
"177","כפר ביל""ו","1","Y"
"178","רמת יוחנן","0","Y"
"180","כפר אז""ר","1","Y"
"182","אבן יהודה","1","Y"
"183","ירקונה","1","Y"
"184","רמת הכובש","0","Y"
"186","נעורים","0","Y"
"187","כפר הס","0","Y"
"188","אשדות יעקב מאוחד","0","Y"
"189","כפר פינס","0","Y"
"190","כפר ויתקין","1","Y"
"191","הדר עם","1","Y"
"192","כפר החורש","0","Y"
"193","כפר חיים","0","Y"
"194","משמר השרון","0","Y"
"195","קדימה","1","Y"
"196","גיבתון","1","Y"
"197","מעברות","0","Y"
"198","צופית","1","Y"
"199","אשדות יעקב איחוד","0","Y"
"200","בית ינאי","1","Y"
"202","בית עובד","0","Y"
"204","אלישיב","0","Y"
"205","חגלה","1","Y"
"206","רמות השבים","1","Y"
"207","גבעת ח""ן","0","Y"
"208","מוצא עילית","1","Y"
"212","בית צבי","0","Y"
"213","משמרות","0","Y"
"217","כפר הרא""ה","1","Y"
"218","גני עם","1","Y"
"219","חיבת ציון","1","Y"
"220","כפר ביאליק","1","Y"
"223","עין עירון","0","Y"
"224","שושנת העמקים-רסקו","1","Y"
"225","גן השומרון","1","Y"
"229","גני תקווה","1","Y"
"230","מעש","1","Y"
"232","שפיים","1","Y"
"233","ידידיה","1","Y"
"234","ביצרון","1","Y"
"235","חבצלת השרון","1","Y"
"237","שער העמקים","0","Y"
"239","גן חיים","1","Y"
"240","יקנעם עילית","1","Y"
"241","יקנעם מושבה","1","Y"
"242","בית השיטה","0","Y"
"246","נתיבות","1","Y"
"247","רשפון","1","Y"
"248","בית שערים","0","Y"
"249","כפר סירקין","1","Y"
"250","הזורע","0","Y"
"252","ביתן אהרן","1","Y"
"253","חולתה","0","Y"
"254","כפר המכבי","0","Y"
"255","כפר חיטים","0","Y"
"256","ניר דוד","0","Y"
"257","נופך","1","Y"
"259","שדה נחום","1","Y"
"262","גינוסר","0","Y"
"263","קיבוץ מסדה","0","Y"
"264","שער הגולן","0","Y"
"265","בית יוסף","0","Y"
"267","כפר שמריהו","1","Y"
"268","טירת צבי","0","Y"
"269","מולדת","0","Y"
"270","עין השופט","0","Y"
"272","מעוז חיים","0","Y"
"273","עין גב","0","Y"
"274","כפר מנחם","0","Y"
"276","צור משה","0","Y"
"278","אושה","0","Y"
"280","חניתה","0","Y"
"281","פקיעין חדשה","0","Y"
"282","שבי ציון","1","Y"
"284","שדה ורבורג","1","Y"
"285","אלונים","0","Y"
"286","מעלה החמישה","1","Y"
"287","תל יצחק","0","Y"
"288","בית יהושע","1","Y"
"289","עין המפרץ","0","Y"
"290","מעין צבי","0","Y"
"292","שרונה","1","Y"
"293","שדה יואב","0","Y"
"294","אילון","0","Y"
"295","כפר רופין","0","Y"
"296","נווה איתן","1","Y"
"297","כפר מסריק","0","Y"
"298","מסילות","0","Y"
"300","דליה","0","Y"
"301","בית עוזיאל","0","Y"
"302","דפנה","0","Y"
"303","דן","0","Y"
"304","שדה אליהו","0","Y"
"305","גשר","0","Y"
"306","שדמות דבורה","0","Y"
"307","הזורעים","0","Y"
"308","מחניים","0","Y"
"309","נהורה","1","Y"
"310","כפר גליקסון","0","Y"
"311","גן שורק","0","Y"
"312","נווה ים","0","Y"
"313","אפק","0","Y"
"315","נגבה","0","Y"
"316","כפר נטר","1","Y"
"317","בית אורן","0","Y"
"318","עמיעוז","0","Y"
"319","עמיר","0","Y"
"320","כפר ורבורג","0","Y"
"322","בית הלל","0","Y"
"324","שאר ישוב","1","Y"
"325","מצובה","0","Y"
"326","בית יצחק-שער חפר","1","Y"
"327","שדות ים","0","Y"
"328","עזוז","0","N"
"329","שדה נחמיה","0","Y"
"330","אלומות","0","Y"
"331","ניר צבי","1","Y"
"334","קבוצת יבנה","0","Y"
"335","רמת השופט","0","Y"
"336","דורות","0","Y"
"338","איבים","0","Y"
"339","רמת צבי","0","Y"
"340","גת (קיבוץ)","0","Y"
"342","גברעם","0","Y"
"343","חמדיה","0","Y"
"344","מענית","0","Y"
"345","כפר סולד","0","Y"
"346","גליל ים","0","Y"
"347","מנרה","0","Y"
"348","ניר עם","1","Y"
"351","דוחן","1","Y"
"352","גבולות","0","Y"
"353","בית זייד","0","Y"
"354","רביבים","0","Y"
"355","חורשים","0","Y"
"356","הגושרים","1","Y"
"357","כפר בלום","0","Y"
"358","יד מרדכי","0","Y"
"359","ניצנים","0","Y"
"360","גבעת ניל""י","0","Y"
"362","רוחמה","0","Y"
"363","חפץ חיים","0","Y"
"364","כפר אוריה","0","Y"
"365","בית קשת","0","Y"
"366","שמיר","0","Y"
"367","עין העמק","0","Y"
"368","ביריה","1","Y"
"369","אבן יצחק","0","Y"
"370","גזר","0","Y"
"371","כדורי","0","Y"
"372","רמות נפתלי","0","Y"
"373","בית הלוי","0","Y"
"374","חוקוק","0","Y"
"375","מגל","0","Y"
"376","עברון","0","Y"
"377","המעפיל","0","Y"
"378","משגב עם","0","Y"
"379","גאולים","0","Y"
"380","להבות הבשן","0","Y"
"382","מכמורת","1","Y"
"383","עין הנצי""ב","0","Y"
"385","עמיעד","0","Y"
"386","בני דרור","1","Y"
"387","כפר מונש","0","Y"
"388","כפר קיש","0","Y"
"389","בצרה","1","Y"
"390","רגבה","0","Y"
"392","קדמה","0","Y"
"393","גלאון","0","Y"
"394","שובל","0","Y"
"395","משמר הנגב","0","Y"
"396","בסיס נבטים","0","Y"
"397","חצרים","0","Y"
"398","שרשרת","0","Y"
"399","בארי","0","Y"
"400","אבן שמואל","0","Y"
"402","ניר יצחק","0","Y"
"403","אורים","0","Y"
"405","נווה אילן","1","Y"
"406","חצור-אשדוד","0","Y"
"407","דברת","0","Y"
"408","נאות מרדכי","0","Y"
"409","יחיעם","0","Y"
"413","צאלים","0","Y"
"414","קלחים","0","Y"
"415","שוקדה","0","Y"
"416","מעין ברוך","0","Y"
"417","יקום","0","Y"
"418","בני ציון","1","Y"
"419","סעד","0","Y"
"421","משאבי שדה","0","Y"
"422","חרב לאת","0","Y"
"423","העוגן","0","Y"
"424","גבים","0","Y"
"425","משמרת","0","Y"
"426","עין כרמל","0","Y"
"427","כפר גלים","0","Y"
"428","ברור חיל","0","Y"
"429","אלוני אבא","0","Y"
"430","בית לחם הגלילית","0","Y"
"431","דלתון","0","Y"
"432","שמרת","0","Y"
"433","נחשולים","0","Y"
"434","החותרים","0","Y"
"435","נצר סרני","0","Y"
"436","עין דור","0","Y"
"437","רשפים","0","Y"
"439","שלוחות","0","Y"
"440","יסודות","0","Y"
"442","גדעונה","0","Y"
"443","כפר הנשיא","0","Y"
"444","רגבים","0","Y"
"445","רמות מנשה","0","Y"
"446","אודים","1","Y"
"447","נורדיה","1","Y"
"448","בני עטרות","1","Y"
"449","נחלים","1","Y"
"450","בארות יצחק","0","Y"
"452","יזרעאל","0","Y"
"453","יפתח","0","Y"
"454","סער","0","Y"
"456","שורש","1","Y"
"457","גזית","0","Y"
"460","רמת רזיאל","1","Y"
"462","טל שחר","1","Y"
"463","געתון","0","Y"
"464","הראל","0","Y"
"465","צובה","0","Y"
"466","בית דגן","1","Y"
"469","קרית עקרון","1","Y"
"472","אבו גוש","1","Y"
"473","אבו סנאן","0","Y"
"475","דחי","0","Y"
"476","אם אל-גנם","0","Y"
"477","בתיר","0","Y"
"478","אכסאל","0","Y"
"480","בית ג'ן","0","Y"
"481","מגאר","0","Y"
"482","בועיינה-נוג`ידאת","0","Y"
"483","בענה","0","Y"
"484","נטע (ליד שקף)","0","Y"
"485","ג`ולס","0","Y"
"487","ג`ש-גוש חלב","0","Y"
"489","דבוריה","0","Y"
"490","דיר אל-אסד","1","Y"
"492","דיר חנא","0","Y"
"493","דיר ראפאת","0","Y"
"494","דאלית אל-כרמל","1","Y"
"496","חרפיש","0","Y"
"497","טייבה-בעמק","0","Y"
"498","טורעאן","0","Y"
"499","יפיע","1","Y"
"502","ירכא","1","Y"
"504","כאבול","0","Y"
"505","כאוכב אל-היג`א","0","Y"
"506","כסרא","0","Y"
"507","כפר יאסיף","0","Y"
"508","כפר כמא","0","Y"
"509","כפר כנא","0","Y"
"510","כפר מנדא","1","Y"
"511","עילוט","0","Y"
"512","כפר מצר","0","Y"
"513","כפר סמיע","0","Y"
"514","עין ראפה","0","Y"
"516","מג`ד אל-כרום","0","Y"
"517","מזרעה","0","Y"
"518","מעליא","1","Y"
"519","לא פעיל - מכר","","Y"
"520","משהד","0","Y"
"521","עין נקובא","0","Y"
"522","נחף","0","Y"
"523","ניין","0","Y"
"524","נאעורה","0","Y"
"525","סאג`ור","0","Y"
"526","סולם","0","Y"
"527","שזור","0","Y"
"528","עוזייר","0","Y"
"529","אעבלין","0","Y"
"530","עיילבון","0","Y"
"531","עראבה","0","Y"
"532","עין מאהל","0","Y"
"534","עספיא","0","Y"
"535","פסוטה","0","Y"
"536","פקיעין","0","Y"
"537","פוריידיס","0","Y"
"538","שעב","0","Y"
"539","רומאנה","0","Y"
"540","ריחאניה","0","Y"
"541","ג`סאר א-זרקא","0","Y"
"542","ריינה","0","Y"
"543","ראמה","1","Y"
"546","עין אל-אסד","0","Y"
"547","טמרה-יזרעאל","0","Y"
"549","גנות הדר","1","Y"
"553","ניר בנים","0","Y"
"555","שדמה","0","Y"
"559","בוסתן הגליל","1","Y"
"562","בית אלעזרי","1","Y"
"563","משמר דוד","0","Y"
"564","רבדים","0","Y"
"565","אזור","1","Y"
"566","גבעת שמש","0","Y"
"567","צרעה","0","Y"
"570","מעונה","0","Y"
"571","בית גמליאל","1","Y"
"572","בית העמק","0","Y"
"573","מבקיעים","0","Y"
"574","גשר הזיו","0","Y"
"575","יסעור","0","Y"
"576","כברי","0","Y"
"577","יד בנימין","0","Y"
"578","סאסא","0","Y"
"579","מחנה מרים (חצור)","0","Y"
"580","כרם מהר""ל","0","Y"
"582","כפר הנגיד","1","Y"
"584","זיקים","0","Y"
"585","לביא","0","Y"
"586","מגידו","0","Y"
"587","סביון","1","Y"
"588","בני ראם","0","Y"
"589","בצת","0","Y"
"590","נווה אור","0","Y"
"591","עשרת","1","Y"
"592","בני דרום","0","Y"
"593","ערוגות","0","Y"
"594","צפריה","0","Y"
"595","לוחמי הגיטאות","1","Y"
"596","מלכיה","0","Y"
"597","פלמחים","1","Y"
"598","בית קמה","0","Y"
"599","פרוד","0","Y"
"602","נירים","0","Y"
"603","אלקוש","1","Y"
"604","בית עריף","0","Y"
"605","כפר שמאי","0","Y"
"606","מזור","1","Y"
"607","מירון","0","Y"
"609","ספסופה","0","Y"
"610","סתריה","1","Y"
"612","צרופה","1","Y"
"613","ציפורי","1","Y"
"614","שומרה","0","Y"
"615","קדרון","1","Y"
"616","רינתיה","1","Y"
"617","ברקאי","0","Y"
"618","חדיד","1","Y"
"619","בית גוברין","0","Y"
"620","משואות יצחק","0","Y"
"622","עין צורים","0","Y"
"623","יראון","0","Y"
"625","זרעית","0","Y"
"627","ג`לג`וליה","0","Y"
"628","ג'ת [ ליד באקה ]","0","Y"
"633","כפר ברא","0","Y"
"634","כפר קאסם","1","Y"
"635","מוקייבלה","0","Y"
"636","צנדלה","0","Y"
"637","ערערה","1","Y"
"638","קלנסווה","0","Y"
"639","ברטעה","0","Y"
"640","זלפה","0","Y"
"642","מוצמוץ","0","N"
"644","סאלם","0","N"
"645","משריפה","0","Y"
"648","מצר","0","Y"
"649","מייסר","0","Y"
"652","אבטין","0","Y"
"654","כפר קרע","0","Y"
"657","עין א -סהלה","0","Y"
"658","שיח` דנון","0","Y"
"661","שער אפרים","1","Y"
"662","חוסן","0","Y"
"663","טירת יהודה","0","Y"
"664","כרם בן זמרה","0","Y"
"665","תקומה","1","Y"
"666","עומר","1","Y"
"667","ברעם","0","Y"
"668","מפלסים","0","Y"
"670","משמר איילון","0","Y"
"672","בית נקופה","1","Y"
"673","כפר טרומן","1","Y"
"674","לימן","1","Y"
"675","הבונים","0","Y"
"676","עין השלושה","0","Y"
"677","הסוללים","1","Y"
"678","מעגן","1","Y"
"679","אביאל","0","Y"
"680","אומץ","0","Y"
"681","גבעת שמואל","1","Y"
"682","אליקים","0","Y"
"683","גבע כרמל","1","Y"
"684","היוגב","0","Y"
"685","בניה","0","Y"
"686","נווה ימין","1","Y"
"687","עין איילה","1","Y"
"688","עלמה","0","Y"
"689","מגדים","0","Y"
"690","כפר אחים","0","Y"
"692","שפיר","1","Y"
"693","נתיב הל""ה","0","Y"
"694","מעגן מיכאל","0","Y"
"695","מגן","0","Y"
"696","כפר חב""ד","0","Y"
"697","בארותיים","1","Y"
"698","בורגתה","1","Y"
"699","ניר ישראל","0","Y"
"700","חצב","0","Y"
"701","ארבל","0","Y"
"702","האון","0","Y"
"703","גבעת עוז","0","Y"
"704","עכברה","0","Y"
"705","נחשונים","0","Y"
"706","גיאה","0","Y"
"707","כפר דניאל","0","Y"
"708","עמקה","0","Y"
"709","תפרח","0","Y"
"710","בית זית","1","Y"
"711","עזריה","0","Y"
"712","בן עמי","1","Y"
"713","רעים","0","Y"
"714","ארז","0","Y"
"715","להבות חביבה","0","Y"
"716","אייל","0","Y"
"717","חגור","1","Y"
"718","ירחיב","0","Y"
"719","תל קציר","0","Y"
"720","ניר גלים","0","Y"
"721","שדה אילן","0","Y"
"722","מגשימים","1","Y"
"723","בית הגדי","0","Y"
"726","הודיה","1","Y"
"727","תלמי יחיאל","0","Y"
"729","משמר השבעה","1","Y"
"730","אליפלט","0","Y"
"731","מישר","0","Y"
"732","משמר הירדן","0","Y"
"734","גן יאשיה","0","Y"
"735","רמות מאיר","1","Y"
"736","גילת","0","Y"
"737","עולש","1","Y"
"738","דור","0","Y"
"739","שדה עוזיהו","0","Y"
"740","אשתאול","0","Y"
"741","שואבה","1","Y"
"742","מסילת-ציון","0","Y"
"743","כפר שמואל","1","Y"
"744","תלמי יפה","0","Y"
"745","גמזו","1","Y"
"746","ברכיה","1","Y"
"747","בית שקמה","0","Y"
"748","מסלול","0","Y"
"749","פטיש","1","Y"
"750","פדויים","0","Y"
"751","בית מאיר","0","Y"
"752","תעוז","0","Y"
"753","ינוב","1","Y"
"755","גורן","0","Y"
"756","בית עזרא","0","Y"
"757","מצליח","1","Y"
"758","יד חנה","0","Y"
"759","יציץ","1","Y"
"760","בן זכאי","1","Y"
"761","שובה","0","Y"
"762","בטחה","0","Y"
"763","שתולים","1","Y"
"764","כפר מרדכי","0","Y"
"765","משגב דב","0","Y"
"766","קוממיות","0","Y"
"767","פורת","0","Y"
"768","כרמיה","0","Y"
"769","ניר עציון","0","Y"
"771","מבוא ביתר","0","Y"
"772","אמונים","1","Y"
"773","עמיקם","1","Y"
"774","צוריאל","0","Y"
"775","יד נתן","0","Y"
"776","מחסיה","0","Y"
"777","נחשון","0","Y"
"778","תרום","0","Y"
"779","עמינדב","1","Y"
"780","אורה","1","Y"
"781","גני יהודה","1","Y"
"783","אבן ספיר","0","Y"
"784","בית נחמיה","1","Y"
"785","אחיהוד","0","Y"
"786","כפר זיתים","0","Y"
"787","גבעת יערים","1","Y"
"788","זיתן","1","Y"
"789","רנן","0","Y"
"791","משען","0","Y"
"792","נתיב השיירה","0","Y"
"793","גבעתי","0","Y"
"794","עגור","0","Y"
"795","יערה","0","Y"
"796","צלפון","0","Y"
"797","אחיעזר","0","Y"
"798","יגל","1","Y"
"799","זכריה","0","Y"
"800","בית חנניה","1","Y"
"801","חמד","1","Y"
"802","גבעת כ""ח","0","Y"
"803","יושיביה","0","Y"
"804","אחיסמך","1","Y"
"805","ישעי","0","Y"
"806","עין יהב","0","N"
"807","חניאל","1","Y"
"808","ניר אליהו","0","Y"
"809","נחם","0","Y"
"810","עופר","0","Y"
"811","יכיני","0","Y"
"812","שלומי","1","Y"
"813","עין יעקב","0","Y"
"814","תלמים","0","Y"
"815","זבדיאל","0","Y"
"816","זנוח","0","Y"
"817","עזריקם","0","Y"
"818","זרחיה","1","Y"
"819","אביגדור","1","Y"
"820","חלץ","0","Y"
"821","אחוזם","0","Y"
"822","מטע","0","Y"
"823","בר גיורא","0","Y"
"824","כוכב מיכאל","0","Y"
"825","נס הרים","0","Y"
"826","עוזה","0","Y"
"827","נווה מבטח","1","Y"
"828","ישרש","1","Y"
"829","מבטחים","0","Y"
"831","ירוחם","1","Y"
"833","נורית","0","Y"
"836","גנות","1","Y"
"837","עזריאל","0","Y"
"838","פדיה","0","Y"
"839","פתחיה","0","Y"
"840","כיסופים","0","Y"
"841","אלישמע","1","Y"
"842","געש","1","Y"
"843","מרגליות","0","Y"
"844","נח""ל עוז","0","Y"
"845","כפר עזה","0","Y"
"846","שפר","0","Y"
"848","בית רבן","0","Y"
"849","דבירה","0","Y"
"850","אחיטוב","1","Y"
"851","ניצני עוז","1","Y"
"852","גונן","0","Y"
"853","גאליה","1","Y"
"854","רחוב","0","Y"
"856","שעלבים","0","Y"
"857","כפר אביב","1","Y"
"858","נווה ירק","1","Y"
"859","כסלון","0","Y"
"861","שדה אליעזר","0","Y"
"862","גני יוחנן","1","Y"
"863","גינתון","1","Y"
"864","בקוע","0","Y"
"865","שיבולים","0","Y"
"866","יטבתה","0","N"
"868","אלוני יצחק","0","Y"
"870","גבעת השלושה","0","Y"
"871","עינת","0","Y"
"872","גאולי תימן","1","Y"
"873","שלווה","0","Y"
"874","מגדל העמק","1","Y"
"875","כפר עבודה - תל מונד","0","Y"
"877","בית חרות","1","Y"
"880","עין שריד","1","Y"
"882","אורנים","1","N"
"883","רמת פנקס","1","Y"
"885","שדה בוקר","0","Y"
"886","איתנים","0","Y"
"888","כפר הרי""ף","1","Y"
"889","כפר חסידים ב`","0","Y"
"890","כפר הנוער הדתי","0","Y"
"892","עבדון","1","Y"
"897","מדרשת רופין","0","Y"
"913","שבלי","0","Y"
"916","ישע","0","Y"
"917","שגב","1","Y"
"919","גבעת ישעיהו","0","Y"
"921","שער מנשה","0","Y"
"922","רכסים","1","Y"
"926","נווה אבות","0","Y"
"932","אבו עמרה","0","N"
"935","אבו סריחאן","0","N"
"939","מסעודין אל-עזאזמה","0","N"
"942","סואעד-חמרייה","0","Y"
"944","בסמת טבעון","0","Y"
"948","חוג`ייראת","0","Y"
"956","הוזייל","0","N"
"957","עוקבי","0","Y"
"958","אבו עבדון","0","N"
"959","אפיניש","0","N"
"960","אסד","0","Y"
"961","אבו רוקייק","0","N"
"962","טובה-זנגריה","0","Y"
"963","לא פעיל","0","N"
"964","קדייראת א-צאנע","0","N"
"965","אטרש","0","Y"
"966","אבו רובייעה","0","N"
"967","אבו ג`ווייעד","0","N"
"968","אבו קורינאת","0","N"
"969","עטאוונה","0","N"
"970","תראבין א-צאנע","0","N"
"972","קוואעין","0","N"
"975","זרזיר","0","Y"
"976","ג`נאביב","0","Y"
"978","כעביה-טבאש-חג`אג`","0","Y"
"988","חילף","0","Y"
"989","סואעד-כמאנה","0","Y"
"990","ראס עלי","0","Y"
"993","חמאם","0","Y"
"994","מנשית זבדה","0","Y"
"997","רומת הייב","0","Y"
"998","ביר אל-מכסור","0","Y"
"999","זבידאת","0","Y"
"1015","מבשרת ציון","1","Y"
"1020","אור עקיבא","1","Y"
"1024","חרוצים","1","Y"
"1031","שדרות","1","Y"
"1034","קרית מלאכי","1","Y"
"1041","נצאצרה","0","N"
"1042","אבו עמאר","0","N"
"1043","גיזו","0","Y"
"1044","יעף","0","Y"
"1045","שתולה","0","Y"
"1046","אוהד","0","Y"
"1047","חזון","0","Y"
"1048","אפעל-סמינריוני","0","Y"
"1049","רמת אפעל","1","Y"
"1050","בית חשמונאי","1","Y"
"1051","תלמי אליהו","0","Y"
"1052","קטורה","0","N"
"1053","עין חצבה","0","N"
"1054","תל שבע","0","Y"
"1056","לא פעיל","0","N"
"1057","נווה זוהר","0","Y"
"1058","שדה ניצן","0","Y"
"1059","כסיפה","0","Y"
"1060","לקיה","0","Y"
"1061","נצרת עילית","1","Y"
"1062","נווה אפרים","1","Y"
"1063","מעלות-תרשיחא","1","Y"
"1064","אמירים","0","Y"
"1065","זמרת","0","Y"
"1066","בני עי""ש","1","Y"
"1067","דוב""ב","0","Y"
"1068","אדמית","0","Y"
"1069","רם-און","0","Y"
"1070","אביעזר","0","Y"
"1071","נווה מיכאל","0","Y"
"1072","גן הדרום","0","Y"
"1076","בית ברל","0","Y"
"1077","גבעת שפירא","0","Y"
"1079","צפרירים","0","Y"
"1080","מבועים","1","Y"
"1081","אבן מנחם","0","Y"
"1082","מעגלים","1","Y"
"1083","תושיה","0","Y"
"1084","בן שמן-כפר הנוער","1","Y"
"1085","כרם שלום","0","Y"
"1087","חוות שלם","0","Y"
"1091","חוות השומר","0","Y"
"1094","כרם יבנה","0","Y"
"1095","כפר מימון","0","Y"
"1098","מרכז שפירא","1","Y"
"1102","צוקי ים","0","Y"
"1103","גני הדר","1","Y"
"1104","פוריה-כפר עבודה","0","Y"
"1105","פוריה-נווה עובד","0","Y"
"1106","לא פעיל","0","N"
"1108","אומן","0","Y"
"1110","חבר","0","Y"
"1111","צופיה","0","Y"
"1112","יודפת","0","Y"
"1113","צור הדסה","1","Y"
"1114","לי-און","1","Y"
"1115","אביבים","0","Y"
"1117","יעל","0","Y"
"1120","אוהלו","0","Y"
